iter	RMSE
0	0.9777620827
1	0.9524401959
2	0.9257187657
3	0.9006635045
4	0.878870866
5	0.8606404043
6	0.8415634646
7	0.8230847786
8	0.806489018
9	0.7917509232
10	0.7796411367
11	0.7676828496
12	0.7561448374
13	0.7471634282
14	0.7374238886
15	0.7285029613
16	0.721477202
17	0.7140512653
18	0.7069526098
19	0.700364938
20	0.6947786756
21	0.6897126287
22	0.6847093417
23	0.6809908639
24	0.6771856925
25	0.673006184
26	0.6693130008
27	0.666309622
28	0.6636613506
29	0.6615794861
30	0.6594955613
31	0.6570099772
32	0.6548708947
33	0.6530829229
34	0.6518756399
35	0.6509156911
36	0.649194748
37	0.6481834126
38	0.6469077717
39	0.6456722622
40	0.6450702494
41	0.6443940926
42	0.6433837376
43	0.642865816
44	0.6418082037
45	0.641126939
46	0.6404231953
47	0.6398508378
48	0.6392670385
49	0.6388851819
50	0.6384652951
51	0.6379573166
52	0.6375642608
53	0.6373366805
54	0.6368106841
55	0.636260232
56	0.6358208273
57	0.6354200224
58	0.6349426522
59	0.6347282409
60	0.6343790027
61	0.6342323175
62	0.6338346261
63	0.6335302622
64	0.6331893142
65	0.6330457759
66	0.6328786562
67	0.6326400776
68	0.6324401937
69	0.6321844469
70	0.6318714122
71	0.6317461055
72	0.6315619499
73	0.6313104798
74	0.6312099234
75	0.6309941207
76	0.6306483706
77	0.6302998545
78	0.6301134063
79	0.6298163995
80	0.629597553
81	0.6294259373
82	0.6293105164
83	0.6292338992
84	0.6291203025
85	0.6289542036
86	0.6288315099
87	0.6284321943
88	0.6283086433
89	0.6281891912
90	0.6280948522
91	0.6279852458
92	0.6278320546
93	0.6276124266
94	0.6272967455
95	0.6271379589
96	0.6270116713
97	0.6268801897
98	0.6267471025
99	0.6265959069
100	0.6261282712
101	0.6260443788
102	0.6258267145
103	0.6257340978
104	0.6256301695
105	0.6252603547
106	0.6251269143
107	0.625000082
108	0.6248298951
109	0.6247191055
110	0.6245773904
111	0.6244212623
112	0.6243120666
113	0.6242090563
114	0.6240995211
115	0.6239589259
116	0.6238069612
117	0.6235757319
118	0.6232765002
119	0.6231473581
120	0.6229500228
121	0.6228248313
122	0.6227128458
123	0.6225854981
124	0.6224370264
125	0.6223255223
126	0.6222026085
127	0.6221487556
128	0.6220844332
129	0.6219113412
130	0.6217596453
131	0.6216272011
132	0.6214697546
133	0.6214051657
134	0.6213176059
135	0.6212380043
136	0.6211266843
137	0.6209029287
138	0.6208087705
139	0.6206957398
140	0.6205838188
141	0.6204756374
142	0.6203613625
143	0.6202128243
144	0.6201258231
145	0.6200058901
146	0.6198731073
147	0.6196657984
148	0.6195596015
149	0.6194570763
150	0.6193913018
151	0.6191378004
152	0.6190387355
153	0.6189046978
154	0.6188317888
155	0.6187558231
156	0.618640506
157	0.6185522883
158	0.6184334765
159	0.6183549897
160	0.6182317324
161	0.6181379553
162	0.6180262716
163	0.6179355623
164	0.6177956374
165	0.6177113917
166	0.6175774955
167	0.6174658534
168	0.6173328701
169	0.6171516093
170	0.617035961
171	0.6169109373
172	0.6168499893
173	0.6167133723
174	0.6165911835
175	0.6164786658
176	0.6163716879
177	0.6163045212
178	0.6161881812
179	0.6160929161
180	0.6159611001
181	0.6158294618
182	0.6157397718
183	0.6156352508
184	0.6154842858
185	0.6153844287
186	0.6152698216
187	0.6151806249
188	0.6150074841
189	0.6149210055
190	0.6148166447
191	0.6146598434
192	0.6145663171
193	0.6145107438
194	0.6144041601
195	0.6142823289
196	0.6141758505
197	0.6140436116
198	0.6139271613
199	0.6138473847
200	0.6137461844
201	0.6136090283
202	0.6134690126
203	0.6134053472
204	0.6132969268
205	0.6131960748
206	0.6130617022
207	0.6129616644
208	0.6128676921
209	0.6127505112
210	0.6126532934
211	0.6125513653
212	0.612487511
213	0.6124090465
214	0.6122795037
215	0.6121413795
216	0.6120228687
217	0.6119536163
218	0.6118488737
219	0.6117920489
220	0.6116377055
221	0.6115829472
222	0.6114946493
223	0.6114444243
224	0.6113792628
225	0.6112772098
226	0.6111746128
227	0.6110901935
228	0.6109477596
229	0.6108952277
230	0.6108503734
231	0.6107183992
232	0.6106236057
233	0.6105634468
234	0.6104532558
235	0.6103307697
236	0.6102223569
237	0.6100937308
238	0.6099839195
239	0.6099018972
240	0.6098083392
241	0.6097072532
242	0.6096630168
243	0.6095881623
244	0.6094483376
245	0.6093334573
246	0.6092653787
247	0.6091509392
248	0.6090707468
249	0.6089456684
250	0.608858538
251	0.6087866608
252	0.608643446
253	0.6085723609
254	0.6084560202
255	0.6083681373
256	0.6082601139
257	0.6081508088
258	0.608109449
259	0.6080335128
260	0.6079429178
261	0.6078279919
262	0.6076921526
263	0.6076230115
264	0.6075066876
265	0.6074656996
266	0.6073428794
267	0.6072382478
268	0.6071420229
269	0.6071023416
270	0.6069628298
271	0.6068600454
272	0.6067729499
273	0.6066983983
274	0.6066011381
275	0.6065574519
276	0.6064995057
277	0.6064059107
278	0.6062371638
279	0.6061076567
280	0.6060034083
281	0.6059025857
282	0.6057690352
283	0.6057267953
284	0.6056850572
285	0.6056447222
286	0.6055576158
287	0.6054912797
288	0.6053734322
289	0.60533544
290	0.6052784711
291	0.6052103433
292	0.6051588313
293	0.605100557
294	0.6050473558
295	0.6050129858
296	0.6049508397
297	0.6047166864
298	0.604682592
299	0.6046200754
300	0.6045211072
301	0.6044883875
302	0.6044481092
303	0.6043609992
304	0.6043120885
305	0.6042242229
306	0.6041310188
307	0.6039799593
308	0.6038912873
309	0.6038036253
310	0.6036484649
311	0.6035833645
312	0.6035180118
313	0.6034047075
314	0.6033109291
315	0.6031789513
316	0.6031445314
317	0.6030861172
318	0.6029754275
319	0.6028796804
320	0.6027634958
321	0.6026555414
322	0.6025681409
323	0.6024612353
324	0.6024006938
325	0.6023068392
326	0.6022268119
327	0.602164852
328	0.6020282848
329	0.6019637794
330	0.6019005203
331	0.6017883481
332	0.6017069942
333	0.6016409195
334	0.6015872517
335	0.6014813827
336	0.6013594046
337	0.6012511659
338	0.6012204412
339	0.6011891487
340	0.6011302128
341	0.6010346543
342	0.6009522859
343	0.6009002924
344	0.6008098885
345	0.6007028662
346	0.6006734345
347	0.6006171275
348	0.600528403
349	0.6004098408
350	0.6002965623
351	0.6002133215
352	0.6001491063
353	0.5999337255
354	0.5998606548
355	0.5997707042
356	0.5996822691
357	0.5995905182
358	0.5994698574
359	0.5993818555
360	0.599337242
361	0.5992560501
362	0.5991582448
363	0.5990795136
364	0.5990153728
365	0.5989368233
366	0.5988497909
367	0.598724882
368	0.5986151724
