iter	Passed	Remaining
0	211	210796
1	228	114179
2	250	83381
3	268	66911
4	286	57098
5	304	50525
6	322	45738
7	339	42137
8	356	39271
9	372	36880
10	388	34932
11	404	33299
12	430	32674
13	448	31553
14	480	31525
15	515	31680
16	533	30831
17	554	30266
18	574	29672
19	592	29020
20	610	28443
21	628	27957
22	647	27508
23	665	27083
24	685	26719
25	706	26483
26	729	26303
27	752	26111
28	771	25837
29	789	25537
30	810	25341
31	837	25334
32	861	25239
33	876	24894
34	891	24582
35	907	24301
36	922	24022
37	940	23802
38	957	23586
39	973	23365
40	989	23142
41	1004	22911
42	1021	22726
43	1036	22518
44	1051	22319
45	1067	22140
46	1083	21974
47	1099	21798
48	1114	21631
49	1129	21469
50	1145	21321
51	1161	21177
52	1177	21033
53	1192	20894
54	1208	20765
55	1239	20895
56	1257	20798
57	1275	20711
58	1292	20620
59	1310	20535
60	1329	20459
61	1346	20372
62	1364	20288
63	1380	20191
64	1397	20096
65	1413	20008
66	1429	19909
67	1445	19809
68	1461	19713
69	1476	19618
70	1492	19529
71	1508	19444
72	1524	19357
73	1540	19281
74	1558	19219
75	1573	19127
76	1588	19036
77	1605	18973
78	1623	18924
79	1649	18967
80	1664	18884
81	1680	18808
82	1694	18725
83	1711	18659
84	1727	18597
85	1745	18549
86	1761	18488
87	1781	18463
88	1798	18409
89	1815	18355
90	1832	18300
91	1848	18246
92	1866	18201
93	1881	18138
94	1897	18072
95	1912	18011
96	1928	17951
97	1947	17921
98	1966	17898
99	1983	17853
100	2000	17808
101	2018	17771
102	2043	17795
103	2060	17748
104	2077	17709
105	2095	17672
106	2111	17626
107	2129	17592
108	2146	17546
109	2163	17502
110	2179	17454
111	2195	17403
112	2211	17363
113	2228	17321
114	2246	17288
115	2264	17256
116	2282	17227
117	2300	17195
118	2317	17156
119	2334	17120
120	2352	17087
121	2368	17045
122	2384	17000
123	2399	16951
124	2414	16901
125	2439	16922
126	2455	16880
127	2472	16840
128	2487	16796
129	2503	16756
130	2519	16710
131	2536	16680
132	2552	16637
133	2568	16598
134	2584	16557
135	2600	16518
136	2615	16473
137	2630	16428
138	2645	16385
139	2661	16346
140	2676	16308
141	2692	16266
142	2707	16227
143	2724	16196
144	2741	16166
145	2759	16138
146	2776	16113
147	2794	16085
148	2813	16071
149	2843	16113
150	2860	16083
151	2876	16050
152	2892	16014
153	2908	15975
154	2924	15940
155	2938	15900
156	2953	15861
157	2970	15829
158	2985	15789
159	3000	15753
160	3016	15717
161	3031	15681
162	3047	15646
163	3062	15609
164	3077	15575
165	3093	15540
166	3108	15506
167	3124	15474
168	3140	15440
169	3155	15408
170	3171	15375
171	3186	15339
172	3201	15306
173	3225	15310
174	3242	15286
175	3259	15262
176	3276	15236
177	3294	15214
178	3311	15186
179	3327	15158
180	3344	15135
181	3362	15113
182	3378	15084
183	3395	15056
184	3410	15026
185	3426	14995
186	3441	14964
187	3457	14934
188	3472	14902
189	3488	14871
190	3504	14841
191	3518	14808
192	3535	14784
193	3551	14753
194	3566	14723
195	3583	14697
196	3598	14666
197	3620	14663
198	3636	14639
199	3652	14611
200	3668	14580
201	3683	14550
202	3698	14519
203	3713	14490
204	3730	14468
205	3748	14448
206	3765	14426
207	3783	14405
208	3799	14381
209	3817	14360
210	3833	14334
211	3850	14311
212	3867	14288
213	3882	14259
214	3897	14231
215	3913	14204
216	3928	14174
217	3944	14148
218	3959	14119
219	3975	14095
220	3991	14071
221	4007	14044
222	4031	14045
223	4049	14028
224	4067	14009
225	4083	13984
226	4101	13965
227	4116	13938
228	4132	13913
229	4147	13884
230	4164	13862
231	4179	13836
232	4193	13805
233	4207	13774
234	4221	13742
235	4237	13716
236	4252	13689
237	4267	13662
238	4282	13636
239	4297	13610
240	4312	13582
241	4327	13553
242	4344	13534
243	4360	13511
244	4374	13481
245	4387	13448
246	4401	13417
247	4414	13384
248	4435	13379
249	4449	13348
250	4462	13317
251	4476	13286
252	4489	13255
253	4503	13225
254	4516	13195
255	4531	13170
256	4544	13138
257	4558	13108
258	4574	13086
259	4588	13059
260	4602	13031
261	4616	13003
262	4629	12974
263	4643	12946
264	4656	12915
265	4669	12883
266	4682	12854
267	4696	12826
268	4709	12797
269	4722	12768
270	4737	12744
271	4752	12719
272	4767	12695
273	4783	12674
274	4799	12652
275	4813	12627
276	4838	12629
277	4853	12606
278	4867	12579
279	4882	12554
280	4896	12528
281	4909	12501
282	4923	12474
283	4937	12447
284	4950	12419
285	4965	12396
286	4980	12372
287	4994	12346
288	5008	12322
289	5023	12298
290	5036	12272
291	5049	12244
292	5063	12217
293	5076	12191
294	5090	12164
295	5103	12138
296	5117	12113
297	5130	12086
298	5144	12061
299	5157	12034
300	5170	12008
301	5185	11984
302	5198	11957
303	5219	11949
304	5234	11927
305	5249	11906
306	5264	11884
307	5279	11862
308	5294	11840
309	5309	11818
310	5325	11797
311	5340	11777
312	5357	11759
313	5373	11739
314	5388	11718
315	5402	11693
316	5416	11669
317	5431	11647
318	5445	11625
319	5461	11604
320	5474	11580
321	5487	11554
322	5501	11531
323	5517	11511
324	5531	11488
325	5545	11464
326	5559	11442
327	5572	11417
328	5585	11392
329	5599	11369
330	5615	11350
331	5640	11349
332	5654	11325
333	5667	11301
334	5681	11278
335	5696	11256
336	5709	11232
337	5722	11208
338	5738	11188
339	5755	11171
340	5774	11159
341	5790	11141
342	5805	11121
343	5820	11099
344	5835	11079
345	5850	11059
346	5866	11039
347	5880	11016
348	5894	10994
349	5907	10970
350	5920	10946
351	5933	10923
352	5946	10899
353	5960	10877
354	5974	10855
355	5987	10832
356	6000	10808
357	6017	10791
358	6038	10782
359	6052	10760
360	6065	10737
361	6078	10713
362	6092	10690
363	6106	10669
364	6120	10647
365	6133	10625
366	6146	10601
367	6160	10579
368	6174	10558
369	6188	10536
370	6201	10513
371	6215	10492
372	6230	10473
373	6247	10456
374	6262	10437
375	6278	10419
376	6294	10401
377	6310	10383
378	6326	10366
379	6342	10348
380	6360	10334
381	6375	10314
382	6389	10292
383	6402	10270
384	6424	10261
385	6438	10241
386	6451	10219
387	6466	10199
388	6479	10177
389	6495	10159
390	6508	10137
391	6521	10114
392	6535	10093
393	6548	10072
394	6562	10051
395	6577	10031
396	6591	10011
397	6606	9992
398	6620	9971
399	6634	9951
400	6648	9930
401	6662	9910
402	6676	9890
403	6693	9874
404	6708	9856
405	6725	9839
406	6742	9823
407	6761	9811
408	6779	9796
409	6795	9779
410	6829	9787
411	6844	9768
412	6860	9750
413	6888	9751
414	6904	9733
415	6918	9712
416	6932	9692
417	6948	9674
418	6963	9655
419	6978	9637
420	6992	9617
421	7006	9596
422	7020	9576
423	7032	9554
424	7045	9532
425	7060	9513
426	7074	9492
427	7087	9471
428	7100	9450
429	7113	9429
430	7131	9414
431	7146	9395
432	7161	9377
433	7175	9357
434	7188	9336
435	7235	9359
436	7252	9343
437	7310	9380
438	7330	9367
439	7352	9358
440	7372	9345
441	7391	9331
442	7411	9318
443	7426	9299
444	7440	9279
445	7453	9258
446	7468	9239
447	7484	9222
448	7498	9201
449	7511	9180
450	7525	9161
451	7540	9141
452	7555	9122
453	7569	9102
454	7583	9083
455	7596	9062
456	7619	9052
457	7633	9033
458	7647	9014
459	7661	8993
460	7674	8972
461	7688	8953
462	7702	8933
463	7715	8912
464	7730	8894
465	7766	8899
466	7825	8931
467	7845	8918
468	7864	8904
469	7882	8888
470	7897	8869
471	7912	8851
472	7927	8832
473	7941	8812
474	7954	8792
475	7967	8771
476	7981	8751
477	7995	8730
478	8008	8710
479	8021	8690
480	8034	8669
481	8047	8648
482	8061	8629
483	8075	8609
484	8103	8604
485	8118	8586
486	8132	8567
487	8147	8548
488	8161	8528
489	8174	8508
490	8188	8488
491	8202	8468
492	8216	8449
493	8230	8430
494	8244	8411
495	8257	8391
496	8272	8372
497	8288	8354
498	8303	8337
499	8319	8319
500	8334	8300
501	8349	8282
502	8364	8264
503	8379	8246
504	8394	8227
505	8409	8209
506	8422	8190
507	8437	8171
508	8451	8152
509	8465	8133
510	8490	8125
511	8504	8106
512	8519	8087
513	8533	8068
514	8547	8050
515	8560	8029
516	8574	8010
517	8587	7990
518	8601	7971
519	8615	7952
520	8628	7932
521	8642	7913
522	8655	7894
523	8674	7879
524	8732	7900
525	8751	7886
526	8795	7894
527	8861	7921
528	8936	7956
529	8965	7950
530	9017	7964
531	9064	7974
532	9084	7959
533	9102	7943
534	9122	7928
535	9141	7913
536	9161	7899
537	9179	7882
538	9196	7865
539	9212	7847
540	9227	7828
541	9243	7811
542	9259	7792
543	9274	7774
544	9291	7757
545	9307	7739
546	9324	7722
547	9343	7706
548	9360	7689
549	9379	7674
550	9397	7657
551	9415	7641
552	9446	7635
553	9465	7619
554	9481	7602
555	9498	7584
556	9516	7568
557	9534	7552
558	9553	7536
559	9572	7521
560	9592	7506
561	9611	7490
562	9632	7476
563	9650	7460
564	9669	7444
565	9688	7428
566	9707	7413
567	9728	7398
568	9746	7382
569	9764	7366
570	9784	7351
571	9804	7335
572	9836	7329
573	9857	7316
574	9878	7301
575	9900	7287
576	9922	7274
577	9943	7260
578	9964	7245
579	9984	7230
580	10002	7213
581	10021	7197
582	10040	7181
583	10058	7165
584	10077	7149
585	10099	7134
586	10120	7120
587	10139	7104
588	10158	7088
589	10178	7073
590	10196	7056
591	10214	7039
592	10235	7024
593	10270	7019
594	10292	7006
595	10309	6988
596	10332	6975
597	10353	6960
598	10374	6945
599	10394	6929
600	10414	6914
601	10433	6898
602	10457	6885
603	10475	6867
604	10493	6850
605	10511	6833
606	10528	6816
607	10546	6799
608	10563	6782
609	10580	6764
610	10598	6747
611	10613	6729
612	10630	6711
613	10646	6692
614	10669	6679
615	10685	6660
616	10700	6642
617	10715	6623
618	10731	6605
619	10747	6587
620	10763	6568
621	10779	6550
622	10795	6532
623	10811	6514
624	10830	6498
625	10846	6480
626	10863	6462
627	10881	6445
628	10897	6427
629	10915	6410
630	10932	6393
631	10949	6375
632	10965	6357
633	10981	6339
634	10997	6321
635	11014	6304
636	11032	6286
637	11059	6274
638	11076	6257
639	11093	6239
640	11109	6221
641	11124	6203
642	11142	6186
643	11160	6169
644	11175	6150
645	11191	6133
646	11207	6114
647	11224	6097
648	11240	6079
649	11255	6060
650	11271	6042
651	11286	6023
652	11301	6005
653	11318	5988
654	11336	5971
655	11353	5953
656	11371	5936
657	11388	5919
658	11405	5901
659	11423	5884
660	11440	5867
661	11468	5855
662	11484	5837
663	11499	5819
664	11515	5801
665	11530	5782
666	11546	5764
667	11562	5746
668	11577	5728
669	11599	5713
670	11619	5696
671	11638	5680
672	11661	5665
673	11677	5648
674	11693	5630
675	11708	5611
676	11725	5594
677	11743	5577
678	11762	5560
679	11780	5543
680	11800	5527
681	11827	5514
682	11846	5498
683	11870	5484
684	11913	5478
685	11942	5466
686	11968	5453
687	12016	5449
688	12037	5433
689	12059	5418
690	12124	5421
691	12227	5442
692	12293	5446
693	12377	5457
694	12494	5482
695	12659	5529
696	12830	5577
697	13038	5641
698	13161	5667
699	13195	5655
700	13237	5646
701	13279	5637
702	13302	5620
703	13322	5601
704	13342	5582
705	13362	5564
706	13419	5561
707	13464	5553
708	13497	5539
709	13521	5522
710	13541	5504
711	13561	5485
712	13583	5467
713	13605	5449
714	13629	5432
715	13650	5414
716	13677	5398
717	13709	5384
718	13745	5372
719	13765	5353
720	13784	5334
721	13808	5317
722	13829	5298
723	13847	5278
724	13865	5259
725	13883	5239
726	13900	5219
727	13920	5201
728	13936	5180
729	13952	5160
730	13968	5140
731	13985	5120
732	14002	5100
733	14019	5080
734	14042	5063
735	14071	5047
736	14097	5030
737	14124	5014
738	14165	5002
739	14204	4990
740	14251	4981
741	14296	4971
742	14322	4954
743	14430	4965
744	14487	4958
745	14602	4971
746	14668	4968
747	14732	4963
748	14842	4974
749	14929	4976
750	15053	4991
751	15115	4984
752	15152	4970
753	15218	4965
754	15258	4951
755	15288	4934
756	15317	4916
757	15346	4899
758	15374	4881
759	15414	4867
760	15461	4855
761	15492	4838
762	15545	4828
763	15581	4813
764	15624	4799
765	15650	4781
766	15676	4762
767	15705	4744
768	15731	4725
769	15765	4709
770	15789	4689
771	15810	4669
772	15829	4648
773	15852	4628
774	15878	4609
775	15909	4592
776	15930	4571
777	15949	4551
778	15972	4531
779	15992	4510
780	16011	4489
781	16031	4469
782	16051	4448
783	16070	4427
784	16089	4406
785	16110	4386
786	16135	4366
787	16154	4346
788	16173	4325
789	16191	4304
790	16208	4282
791	16225	4261
792	16242	4239
793	16262	4219
794	16280	4198
795	16298	4177
796	16317	4156
797	16335	4134
798	16353	4113
799	16370	4092
800	16388	4071
801	16412	4051
802	16431	4031
803	16448	4009
804	16465	3988
805	16481	3966
806	16497	3945
807	16514	3924
808	16530	3902
809	16548	3881
810	16567	3861
811	16584	3839
812	16601	3818
813	16618	3797
814	16635	3776
815	16655	3755
816	16675	3735
817	16695	3714
818	16715	3694
819	16735	3673
820	16753	3652
821	16783	3634
822	16803	3613
823	16822	3593
824	16840	3572
825	16860	3551
826	16878	3530
827	16898	3510
828	16915	3489
829	16933	3468
830	16951	3447
831	16968	3426
832	16985	3405
833	17004	3384
834	17022	3363
835	17041	3343
836	17060	3322
837	17076	3301
838	17093	3280
839	17112	3259
840	17130	3238
841	17181	3224
842	17220	3207
843	17240	3186
844	17260	3166
845	17282	3145
846	17307	3126
847	17334	3107
848	17358	3087
849	17390	3068
850	17416	3049
851	17439	3029
852	17473	3011
853	17496	2991
854	17518	2970
855	17538	2950
856	17559	2929
857	17577	2909
858	17603	2889
859	17622	2868
860	17654	2850
861	17680	2830
862	17702	2810
863	17722	2789
864	17750	2770
865	17785	2752
866	17807	2731
867	17827	2711
868	17846	2690
869	17871	2670
870	17904	2651
871	17921	2630
872	17941	2610
873	18003	2595
874	18065	2580
875	18102	2562
876	18151	2545
877	18208	2530
878	18244	2511
879	18385	2507
880	18429	2489
881	18496	2474
882	18537	2456
883	18571	2436
884	18610	2418
885	18664	2401
886	18726	2385
887	18792	2370
888	18876	2356
889	18939	2340
890	18990	2323
891	19018	2302
892	19046	2282
893	19077	2261
894	19138	2245
895	19171	2225
896	19201	2204
897	19233	2184
898	19267	2164
899	19301	2144
900	19340	2125
901	19410	2108
902	19501	2094
903	19587	2080
904	19634	2061
905	19679	2041
906	19719	2021
907	19753	2001
908	19775	1979
909	19804	1958
910	19832	1937
911	19863	1916
912	19895	1895
913	19918	1874
914	19940	1852
915	19969	1831
916	19989	1809
917	20009	1787
918	20029	1765
919	20050	1743
920	20072	1721
921	20092	1699
922	20112	1677
923	20130	1655
924	20148	1633
925	20166	1611
926	20183	1589
927	20201	1567
928	20219	1545
929	20236	1523
930	20254	1501
931	20271	1479
932	20292	1457
933	20310	1435
934	20327	1413
935	20344	1391
936	20363	1369
937	20393	1347
938	20432	1327
939	20457	1305
940	20484	1284
941	20509	1262
942	20557	1242
943	20577	1220
944	20598	1198
945	20618	1176
946	20647	1155
947	20669	1133
948	20689	1111
949	20711	1090
950	20729	1068
951	20747	1046
952	20765	1024
953	20783	1002
954	20801	980
955	20817	958
956	20835	936
957	20852	914
958	20869	892
959	20886	870
960	20904	848
961	20921	826
962	20939	804
963	20956	782
964	20974	760
965	20991	738
966	21010	716
967	21027	695
968	21045	673
969	21063	651
970	21091	629
971	21134	608
972	21160	587
973	21184	565
974	21209	543
975	21230	522
976	21251	500
977	21275	478
978	21297	456
979	21316	435
980	21335	413
981	21355	391
982	21374	369
983	21391	347
984	21409	326
985	21427	304
986	21444	282
987	21461	260
988	21479	238
989	21496	217
990	21523	195
991	21541	173
992	21559	151
993	21578	130
994	21599	108
995	21617	86
996	21635	65
997	21652	43
998	21671	21
999	21690	0
