iter	RMSE
0	0.2789174249
1	0.2696282079
2	0.2611208164
3	0.253009367
4	0.24552705
5	0.2389921741
6	0.2327780978
7	0.2278166622
8	0.222118424
9	0.2168746626
10	0.2121181487
11	0.2083742741
12	0.2043092273
13	0.2014297776
14	0.1979250894
15	0.1947271015
16	0.1918044025
17	0.189256485
18	0.1868858194
19	0.1846859339
20	0.1827336949
21	0.1810250305
22	0.1794722719
23	0.1779138042
24	0.176529864
25	0.1752488984
26	0.1742075509
27	0.173346809
28	0.1723841593
29	0.1716540206
30	0.1708345763
31	0.1702458741
32	0.1696027228
33	0.1690554919
34	0.1685439736
35	0.1681550524
36	0.1676795025
37	0.167330763
38	0.1670216859
39	0.1666476485
40	0.1663098029
41	0.1660918028
42	0.1658392542
43	0.1655901289
44	0.1653322699
45	0.1652406419
46	0.1650176793
47	0.1648517011
48	0.1646758021
49	0.1645315307
50	0.164380056
51	0.1642245545
52	0.1640583604
53	0.1639202669
54	0.1638325246
55	0.163682836
56	0.1635588073
57	0.163461314
58	0.1633826331
59	0.163283723
60	0.1632050294
61	0.1630953879
62	0.1630202786
63	0.1629512448
64	0.1628565995
65	0.1627705394
66	0.1627093845
67	0.1626115626
68	0.1625515737
69	0.1624898462
70	0.1624215827
71	0.1623722929
72	0.1623189292
73	0.1622618242
74	0.16218435
75	0.1621449288
76	0.16209956
77	0.162031607
78	0.1619862597
79	0.1619415891
80	0.1618583965
81	0.1618508341
82	0.1618003149
83	0.1617489448
84	0.1617147442
85	0.1616321044
86	0.1616034703
87	0.161569877
88	0.1615140455
89	0.1614513652
90	0.1614461671
91	0.1613687797
92	0.1613306245
93	0.161251166
94	0.1612249403
95	0.1611814335
96	0.1611624899
97	0.1611207424
98	0.1610373559
99	0.1610041368
100	0.1609692064
101	0.1609318847
102	0.1609012066
103	0.1608411599
104	0.1607621331
105	0.1607050427
106	0.1606544116
107	0.1606014321
108	0.1605540813
109	0.1604814674
110	0.1604375274
111	0.1603864203
112	0.1603508011
113	0.160318146
114	0.1602741412
115	0.1602517726
116	0.1602099707
117	0.160181829
118	0.1601212589
119	0.160095094
120	0.1600616082
121	0.1600247116
122	0.1599797061
123	0.1599389943
124	0.1599073245
125	0.1598457477
126	0.1598059426
127	0.1597786556
128	0.1597216183
129	0.1596995743
130	0.1596735346
131	0.1596146058
132	0.1595753788
133	0.1595281702
134	0.1594883475
135	0.1594832985
136	0.1594394429
137	0.1593946532
138	0.1593382022
139	0.1592672603
140	0.1592200507
141	0.1591890808
142	0.1591482643
143	0.1591064586
144	0.1590498297
145	0.1590240206
146	0.1590011508
147	0.1589355707
148	0.1588994083
149	0.1588542186
150	0.1588225762
151	0.1587700478
152	0.1587152393
153	0.1586537427
154	0.1586169038
155	0.1585593549
