iter	Passed	Remaining
0	14	14796
1	20	10226
2	26	8871
3	32	8124
4	39	7790
5	44	7425
6	50	7106
7	82	10268
8	92	10195
9	100	9906
10	166	15009
11	175	14413
12	184	13984
13	214	15080
14	263	17296
15	274	16864
16	282	16306
17	294	16046
18	314	16262
19	342	16780
20	350	16333
21	358	15941
22	368	15634
23	373	15174
24	378	14748
25	384	14407
26	388	14010
27	393	13644
28	397	13302
29	403	13034
30	407	12734
31	411	12445
32	418	12252
33	422	11991
34	426	11751
35	432	11573
36	436	11356
37	440	11160
38	445	10966
39	450	10809
40	454	10627
41	458	10452
42	463	10320
43	467	10163
44	471	10012
45	473	9825
46	478	9699
47	482	9574
48	486	9445
49	490	9324
50	495	9228
51	499	9113
52	504	9005
53	508	8908
54	513	8829
55	517	8730
56	522	8638
57	526	8556
58	531	8470
59	535	8382
60	538	8296
61	544	8234
62	548	8156
63	563	8238
64	567	8160
65	571	8084
66	576	8028
67	580	7958
68	584	7887
69	588	7819
70	594	7776
71	598	7711
72	602	7647
73	607	7595
74	611	7540
75	615	7484
76	619	7427
77	625	7388
78	629	7337
79	636	7315
80	644	7310
81	646	7238
82	652	7203
83	661	7212
84	667	7187
85	676	7189
86	681	7147
87	685	7103
88	694	7110
89	698	7065
90	701	7002
91	708	6990
92	712	6947
93	716	6907
94	722	6883
95	726	6841
96	729	6791
97	733	6753
98	738	6722
99	742	6684
100	746	6648
101	752	6625
102	756	6590
103	761	6556
104	766	6536
105	771	6502
106	775	6470
107	779	6437
108	785	6418
109	789	6386
110	793	6356
111	799	6340
112	803	6309
113	808	6282
114	812	6252
115	816	6220
116	820	6191
117	824	6161
118	828	6135
119	833	6110
120	837	6082
121	841	6054
122	846	6036
123	850	6009
124	854	5981
125	858	5955
126	863	5938
127	868	5917
128	873	5897
129	878	5879
130	882	5854
131	886	5829
132	890	5805
133	896	5791
134	900	5767
135	902	5732
136	906	5709
137	911	5696
138	916	5675
139	920	5652
140	925	5639
141	929	5618
142	933	5596
143	937	5573
144	947	5587
145	960	5617
146	964	5596
147	968	5575
148	973	5558
149	977	5539
150	981	5518
151	985	5497
152	990	5484
153	994	5465
154	998	5445
155	1003	5427
156	1008	5413
157	1012	5395
158	1016	5378
159	1021	5364
160	1026	5348
161	1032	5342
162	1039	5339
163	1044	5324
164	1050	5317
165	1058	5320
166	1064	5308
167	1069	5294
168	1073	5278
169	1078	5266
170	1083	5250
171	1090	5247
172	1094	5230
173	1098	5214
174	1104	5208
175	1109	5192
176	1113	5175
177	1118	5164
178	1122	5148
179	1126	5131
180	1130	5114
181	1136	5106
182	1140	5089
183	1144	5073
184	1149	5062
185	1156	5059
186	1161	5049
187	1170	5054
188	1175	5043
189	1182	5040
190	1187	5030
191	1192	5019
192	1200	5017
193	1205	5007
194	1210	4996
195	1219	5001
196	1231	5020
197	1236	5009
198	1242	4999
199	1250	5000
200	1255	4989
201	1262	4988
202	1267	4977
203	1273	4967
204	1279	4961
205	1284	4951
206	1290	4942
207	1328	5059
208	1336	5059
209	1346	5064
210	1368	5117
211	1377	5121
212	1385	5118
213	1394	5120
214	1401	5116
215	1467	5326
216	1478	5336
217	1490	5346
218	1527	5446
219	1538	5453
220	1542	5438
221	1547	5421
222	1552	5410
223	1556	5393
224	1560	5375
225	1564	5358
226	1569	5345
227	1573	5328
228	1577	5311
229	1582	5298
230	1586	5282
231	1590	5266
232	1594	5250
233	1600	5238
234	1604	5221
235	1608	5205
236	1611	5189
237	1618	5180
238	1621	5164
239	1625	5148
240	1633	5144
241	1637	5130
242	1642	5115
243	1647	5105
244	1652	5090
245	1656	5075
246	1660	5061
247	1666	5052
248	1670	5039
249	1675	5026
250	1679	5012
251	1683	4998
252	1688	4984
253	1692	4970
254	1698	4961
255	1702	4947
256	1706	4932
257	1712	4923
258	1716	4910
259	1720	4897
260	1724	4883
261	1729	4870
262	1733	4858
263	1737	4844
264	1743	4836
265	1748	4824
266	1752	4811
267	1757	4800
268	1761	4786
269	1765	4773
270	1769	4760
271	1774	4750
272	1778	4737
273	1782	4724
274	1785	4706
275	1792	4700
276	1796	4688
277	1800	4675
278	1805	4666
279	1809	4654
280	1814	4641
281	1818	4628
282	1823	4619
283	1827	4606
284	1831	4593
285	1834	4580
286	1840	4571
287	1844	4559
288	1848	4547
289	1853	4537
290	1857	4525
291	1861	4513
292	1865	4500
293	1870	4491
294	1874	4479
295	1888	4490
296	1892	4479
297	1896	4468
298	1902	4459
299	1906	4447
300	1910	4435
301	1914	4423
302	1919	4415
303	1923	4404
304	1927	4393
305	1932	4382
306	1936	4371
307	1940	4359
308	1944	4348
309	1949	4339
310	1953	4328
311	1957	4316
312	1961	4305
313	1966	4296
314	1971	4286
315	1975	4275
316	1979	4265
317	1984	4255
318	1988	4244
319	1992	4233
320	1997	4225
321	2002	4216
322	2006	4205
323	2010	4194
324	2016	4187
325	2020	4177
326	2024	4166
327	2029	4158
328	2033	4148
329	2037	4137
330	2041	4126
331	2047	4119
332	2051	4109
333	2055	4098
334	2060	4090
335	2064	4080
336	2068	4070
337	2072	4059
338	2078	4052
339	2082	4042
340	2086	4031
341	2090	4021
342	2096	4016
343	2101	4006
344	2105	3996
345	2111	3990
346	2115	3980
347	2119	3971
348	2125	3965
349	2129	3955
350	2134	3946
351	2139	3938
352	2143	3929
353	2147	3919
354	2151	3909
355	2158	3904
356	2164	3899
357	2169	3891
358	2177	3888
359	2182	3879
360	2191	3878
361	2199	3876
362	2210	3879
363	2216	3872
364	2226	3873
365	2232	3866
366	2241	3866
367	2245	3857
368	2255	3857
369	2275	3874
370	2279	3865
371	2286	3859
372	2290	3850
373	2294	3840
374	2299	3832
375	2305	3826
376	2309	3816
377	2313	3807
378	2320	3802
379	2324	3793
380	2328	3783
381	2334	3777
382	2338	3767
383	2342	3758
384	2347	3750
385	2352	3741
386	2356	3732
387	2360	3723
388	2366	3716
389	2370	3707
390	2374	3697
391	2378	3688
392	2383	3680
393	2387	3671
394	2391	3662
395	2396	3654
396	2400	3646
397	2404	3636
398	2408	3627
399	2414	3621
400	2418	3612
401	2422	3603
402	2426	3594
403	2431	3586
404	2434	3577
405	2438	3568
406	2444	3561
407	2448	3552
408	2452	3543
409	2456	3535
410	2462	3528
411	2466	3519
412	2470	3510
413	2474	3503
414	2479	3494
415	2482	3485
416	2487	3477
417	2492	3469
418	2496	3461
419	2500	3453
420	2504	3444
421	2509	3437
422	2513	3429
423	2518	3420
424	2523	3413
425	2527	3404
426	2531	3396
427	2535	3388
428	2540	3381
429	2544	3373
430	2548	3364
431	2552	3356
432	2557	3349
433	2561	3341
434	2565	3332
435	2571	3326
436	2576	3319
437	2581	3312
438	2586	3304
439	2593	3300
440	2598	3293
441	2608	3293
442	2615	3288
443	2627	3290
444	2637	3289
445	2645	3285
446	2653	3282
447	2680	3303
448	2690	3301
449	2694	3293
450	2699	3286
451	2706	3280
452	2710	3273
453	2719	3270
454	2723	3262
455	2729	3255
456	2736	3251
457	2740	3242
458	2744	3235
459	2750	3229
460	2755	3221
461	2759	3213
462	2765	3207
463	2769	3199
464	2773	3191
465	2777	3183
466	2783	3176
467	2787	3168
468	2791	3160
469	2796	3153
470	2800	3145
471	2804	3137
472	2808	3129
473	2813	3122
474	2817	3114
475	2821	3106
476	2825	3098
477	2831	3091
478	2835	3083
479	2839	3075
480	2843	3068
481	2848	3061
482	2852	3053
483	2856	3045
484	2861	3038
485	2866	3031
486	2870	3023
487	2874	3015
488	2879	3009
489	2883	3001
490	2887	2993
491	2893	2987
492	2897	2979
493	2901	2971
494	2905	2964
495	2910	2957
496	2914	2950
497	2918	2942
498	2923	2935
499	2927	2927
500	2931	2920
501	2935	2912
502	2942	2907
503	2946	2900
504	2952	2894
505	2959	2888
506	2963	2881
507	2967	2874
508	2974	2869
509	2978	2862
510	2983	2855
511	2989	2849
512	2993	2842
513	2998	2834
514	3002	2827
515	3008	2822
516	3013	2815
517	3017	2807
518	3026	2805
519	3031	2798
520	3042	2796
521	3058	2800
522	3063	2794
523	3069	2788
524	3074	2781
525	3078	2773
526	3082	2766
527	3092	2764
528	3106	2766
529	3120	2767
530	3125	2760
531	3139	2761
532	3147	2757
533	3160	2757
534	3169	2754
535	3179	2752
536	3188	2749
537	3193	2742
538	3201	2738
539	3206	2731
540	3210	2723
541	3217	2719
542	3222	2711
543	3225	2704
544	3232	2698
545	3238	2692
546	3242	2685
547	3249	2680
548	3253	2672
549	3257	2665
550	3263	2659
551	3267	2652
552	3271	2644
553	3275	2637
554	3281	2631
555	3285	2623
556	3289	2616
557	3293	2608
558	3298	2602
559	3302	2595
560	3307	2588
561	3313	2582
562	3317	2575
563	3321	2568
564	3332	2565
565	3337	2558
566	3341	2551
567	3349	2547
568	3354	2541
569	3363	2537
570	3367	2530
571	3373	2523
572	3382	2520
573	3386	2513
574	3396	2510
575	3402	2504
576	3409	2499
577	3413	2492
578	3418	2485
579	3429	2483
580	3433	2476
581	3437	2469
582	3445	2464
583	3451	2458
584	3466	2459
585	3472	2453
586	3476	2446
587	3480	2438
588	3484	2431
589	3490	2425
590	3494	2418
591	3498	2410
592	3504	2405
593	3508	2398
594	3512	2390
595	3517	2384
596	3522	2377
597	3526	2370
